kraj,city,lat,lon
Hlavní město Praha,Praha,50.0755,14.4378
Středočeský kraj,Příbram,49.6914,14.0229
Jihočeský kraj,České Budějovice,48.9745,14.4743
Plzeňský kraj,Plzeň,49.7384,13.3736
Karlovarský kraj,Karlovy Vary,50.2324,12.8710
Ústecký kraj,Ústí nad Labem,50.6607,14.0307
Liberecký kraj,Liberec,50.7663,15.0543
Královéhradecký kraj,Hradec Králové,50.2093,15.8327
Pardubický kraj,Pardubice,50.0343,15.7812
Kraj Vysočina,Jihlava,49.3961,15.5920
Jihomoravský kraj,Brno,49.1951,16.6068
Olomoucký kraj,Olomouc,49.5938,17.2509
Zlínský kraj,Zlín,49.2237,17.6696
Moravskoslezský kraj,Ostrava,49.8209,18.2625
