name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Unnamed POI,48.6474923,14.6171881,0.04077840968966484,Tmavě modrá (Slabé znečištění),České Budějovice,Unknown
Bývalá rozhledna Vidice,49.6071735,12.8284678,0.052343811839818954,Tmavě modrá (Slabé znečištění),Plzeň,Unknown
Unnamed POI,49.9617122,12.966431,0.05263209342956543,Tmavě modrá (Slabé znečištění),Karlovy Vary,Unknown
Unnamed POI,49.4623456,14.1963385,0.05621316656470299,Tmavě modrá (Slabé znečištění),Příbram,Unknown
Unnamed POI,49.2243631,15.3367514,0.06443141400814056,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Unnamed POI,49.2480659,18.1124203,0.07609367370605469,Tmavě modrá (Slabé znečištění),Zlín,Unknown
Rozhledna Sukenická,49.3989723,18.3961098,0.07998748868703842,Tmavě modrá (Slabé znečištění),Ostrava,Unknown
Unnamed POI,49.7703707,16.0426489,0.08709415793418884,Modrá (Mírné znečištění),Pardubice,Unknown
Unnamed POI,49.8648014,17.3700736,0.08985383063554764,Modrá (Mírné znečištění),Olomouc,Unknown
Zámeček,49.8027498,16.1684825,0.09427444636821747,Modrá (Mírné znečištění),Hradec Králové,Unknown
Unnamed POI,49.5857631,15.2559563,0.09461165964603424,Modrá (Mírné znečištění),Praha,Unknown
Unnamed POI,49.4308535,16.2314435,0.09517639875411987,Modrá (Mírné znečištění),Brno,Unknown
Unnamed POI,50.8637686,14.3811926,0.10017381608486176,Modrá (Mírné znečištění),Ústí nad Labem,Unknown
Unnamed POI,50.8431559,14.4902554,0.11443141847848892,Modrá (Mírné znečištění),Liberec,Unknown
