name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Krásná Máří,50.8524449,15.1820227,0.13954967260360718,Modrá (Mírné znečištění),Liberec,Unknown
Tolštejn,50.8568584,14.5817042,0.13970156013965607,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8322204,14.6500797,0.12811818718910217,Modrá (Mírné znečištění),Liberec,Unknown
Holubník,50.8407212,15.1834925,0.1348344385623932,Modrá (Mírné znečištění),Liberec,Unknown
Ptačí kupy,50.8470081,15.1737111,0.14267100393772125,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.820632,14.4623777,0.129509836435318,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.808085,14.746609,0.14146754145622253,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8307353,15.2216311,0.12352669984102249,Modrá (Mírné znečištění),Liberec,Unknown
Čertův odpočinek,50.8244867,15.2130179,0.13225889205932617,Modrá (Mírné znečištění),Liberec,Unknown
Šikmá věž,50.4629235,15.2904268,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
Pechova vyhlídka,50.4667424,15.2868267,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
vyhlídka Míru,50.4666008,15.2911887,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
vyhlídka Českého ráje,50.4666597,15.2896706,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
Hlaholská vyhlídka,50.4670097,15.2956885,0.15158526599407196,Modrá (Mírné znečištění),Liberec,Unknown
Všetečkova vyhlídka,50.4677493,15.2906241,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka pražského pěveckého sboru Křížkovský,50.466368,15.2992469,0.15158526599407196,Modrá (Mírné znečištění),Liberec,Unknown
Hradčanská vyhlídka,50.6179451,14.6975802,0.1396275758743286,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7470319,15.3657395,0.14017432928085327,Modrá (Mírné znečištění),Liberec,Unknown
Bílá skála,50.7396167,15.375349,0.13165071606636047,Modrá (Mírné znečištění),Liberec,Unknown
BOROVSKÉ SKÁLY,50.7310439,15.4056912,0.130785271525383,Modrá (Mírné znečištění),Liberec,Unknown
Skalní vyhlídka,50.7503535,15.3757672,0.12804517149925232,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8244515,15.1666912,0.1577683836221695,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5390197,14.7200702,0.13940474390983582,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Liška,50.7199213,15.4489034,0.12245185673236847,Modrá (Mírné znečištění),Liberec,Unknown
Výhled na Štěpánku,50.7619344,15.3617602,0.13869032263755798,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5824722,14.7402826,0.12026288360357285,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5955819,14.7462742,0.12349875271320343,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6913571,15.3542092,0.1504816710948944,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlidka na Český ráj,50.5678364,15.2992873,0.14691896736621857,Modrá (Mírné znečištění),Liberec,Unknown
Holenická vyhlídka na Trosky,50.5217084,15.3168249,0.14293339848518372,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7468779,15.4398452,0.11501407623291016,Modrá (Mírné znečištění),Liberec,Unknown
Bosenská skála,50.7362343,15.3840368,0.129878431558609,Modrá (Mírné znečištění),Liberec,Unknown
Taková hezká skála,50.6033743,14.9753987,0.15755800902843475,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8519439,15.181241,0.13954967260360718,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6676478,15.4065876,0.11934950202703476,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8568577,14.5614955,0.13280323147773743,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8229039,14.6724907,0.12892146408557892,Modrá (Mírné znečištění),Liberec,Unknown
Ervínův hrad,50.4676198,15.2743049,0.1397933065891266,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.4774664,15.2758472,0.13976864516735077,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.4775451,15.276011,0.13976864516735077,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8241297,14.6038493,0.1231699287891388,Modrá (Mírné znečištění),Liberec,Unknown
Schlikova vyhlídka,50.467918,15.2903738,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8039653,14.4584967,0.1583973467350006,Modrá (Mírné znečištění),Liberec,Unknown
Lípa svobody,50.4902018,15.315545,0.14957362413406372,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8009511,14.4767488,0.1468804031610489,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8271867,14.6703573,0.12892146408557892,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5021119,15.2079991,0.1396275758743286,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídkový altán,50.6848628,15.4042648,0.1298525333404541,Modrá (Mírné znečištění),Liberec,Unknown
Seifertova vyhlídka,50.4704462,15.291862,0.15158526599407196,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídková věž,50.466722,15.297444,0.15158526599407196,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7970601,14.6387949,0.1483878195285797,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7899439,14.4832691,0.15758384764194489,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5143992,15.168805,0.14324575662612915,Modrá (Mírné znečištění),Liberec,Unknown
val,50.7707838,14.383998,0.14949391782283783,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6173317,14.6964881,0.1396275758743286,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6176677,14.6977968,0.1396275758743286,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7797071,14.6584572,0.15775372087955475,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7834834,14.6622739,0.15775372087955475,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8021826,14.6858609,0.13424403965473175,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8502328,14.5389979,0.1189325824379921,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5389603,15.2369993,0.15569256246089935,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5404537,15.236201,0.15569256246089935,Modrá (Mírné znečištění),Liberec,Unknown
"výhled Jedlová, Sokol",50.8237045,14.5028027,0.12138499319553375,Modrá (Mírné znečištění),Liberec,Unknown
výhled na Chřibskou,50.8260433,14.5011456,0.12138499319553375,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7970742,14.4953231,0.14170688390731812,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7954356,14.4988534,0.15381157398223877,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8069487,14.4671689,0.13626728951931,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8167576,14.7126625,0.13092277944087982,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8169022,14.7300524,0.1348269134759903,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.818142,14.7317882,0.1348269134759903,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Svatopluka Čecha,50.536081,15.2434526,0.15509212017059326,Modrá (Mírné znečištění),Liberec,Unknown
Cimrmanova nejnižší rozhledna,50.6126002,15.3604067,0.1578095704317093,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8006421,14.4767896,0.1468804031610489,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8074384,14.4680862,0.13626728951931,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8332652,15.2313819,0.12014786899089813,Modrá (Mírné znečištění),Liberec,Unknown
výhled na Českosaské Švýcarsko,50.7808821,14.4009334,0.15283623337745667,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7822211,14.4031841,0.15283623337745667,Modrá (Mírné znečištění),Liberec,Unknown
Šrámkova vyhlídka,50.4857705,15.2588098,0.14025284349918365,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8498455,14.5381617,0.1189325824379921,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6191191,14.7088844,0.14323312044143677,Modrá (Mírné znečištění),Liberec,Unknown
Malý Bezděz,50.539919,14.7137341,0.13779431581497192,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7903002,14.6523474,0.15197771787643433,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5393486,14.7137541,0.13779431581497192,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5933155,15.2632347,0.15612047910690308,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8513061,15.1945894,0.13251006603240967,Modrá (Mírné znečištění),Liberec,Unknown
Pokladna Rozhledna U borovice,50.6604061,15.4017093,0.11986449360847473,Modrá (Mírné znečištění),Liberec,Unknown
Prachovna,50.5442299,15.1921333,0.15782733261585236,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7699653,15.4317626,0.12297234684228897,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8496532,14.6455167,0.13524381816387177,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8668208,14.5662672,0.14879073202610016,Modrá (Mírné znečištění),Liberec,Unknown
