name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made,darkness_value,falchi_category
Unnamed POI,49.1889339,16.8628541,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,0.33992922,Tmavě zelená (Znečištěná)
Koliště - Cejl,49.196105,16.6156531,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance,3.1736717,Oranžová (Extrémní znečištění)
Unnamed POI,49.1890462,16.8628835,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,0.33992922,Tmavě zelená (Znečištěná)
Mělnická vyhlídka,50.3879853,14.2922971,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.24211289,Světle modrá (Střední znečištění)
Unnamed POI,50.0013588,14.8588657,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.26736322,Světle modrá (Střední znečištění)
Unnamed POI,50.7358105,15.7398317,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11004827,Modrá (Mírné znečištění)
Unnamed POI,50.067727,12.366026,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance,0.5896067,Tmavě zelená (Znečištěná)
Malý Rabštýn,49.7229114,17.4517505,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.12711267,Modrá (Mírné znečištění)
Unnamed POI,49.1907486,16.6118352,Unknown,Unknown,Unknown,Unknown,10,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance,3.4255514,Oranžová (Extrémní znečištění)
Vysoký kámen,50.3005798,12.4080543,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.09396863,Modrá (Mírné znečištění)
Křížový kámen,50.8841433,14.2802226,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11305099,Modrá (Mírné znečištění)
Horní vyhlídka Edmundova kamene,50.8851997,14.2807612,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11305099,Modrá (Mírné znečištění)
Unnamed POI,50.8850222,14.2805325,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11305099,Modrá (Mírné znečištění)
Unnamed POI,49.234147,17.2512825,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.16009013,Světle modrá (Střední znečištění)
Unnamed POI,49.2085416,16.5946018,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,2.6035013,Oranžová (Extrémní znečištění)
Unnamed POI,49.1986324,16.6107061,Unknown,Unknown,Unknown,Unknown,18,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance,3.1736717,Oranžová (Extrémní znečištění)
Unnamed POI,49.1978114,16.6113803,Unknown,Unknown,Unknown,Unknown,18,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance,3.1736717,Oranžová (Extrémní znečištění)
Unnamed POI,50.1388161,14.5330386,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.8000325,Žlutá (Velmi silné znečištění)
Unnamed POI,50.0027393,14.8602205,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.26736322,Světle modrá (Střední znečištění)
Krásná Máří,50.8524449,15.1820227,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.13954967,Modrá (Mírné znečištění)
Tolštejn,50.8568584,14.5817042,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.13970156,Modrá (Mírné znečištění)
Komáří hůrka,50.7066166,13.8564498,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,cs:Komáří hůrka,Unknown,Unknown,Unknown,Unknown,Unknown,0.26980686,Světle modrá (Střední znečištění)
Unnamed POI,50.3753828,12.9096273,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.13749784,Modrá (Mírné znečištění)
Ptačí kámen,50.8588801,14.3339446,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11081897,Modrá (Mírné znečištění)
Tanečnice - rozhledna,50.9662584,14.3204743,Unknown,Unknown,Unknown,information,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11630155,Modrá (Mírné znečištění)
Vilemínina stěna,50.8631778,14.4038967,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.099401325,Modrá (Mírné znečištění)
Unnamed POI,49.3851081,12.9276116,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.09720468,Modrá (Mírné znečištění)
Unnamed POI,49.4121378,12.8045038,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.079987265,Tmavě modrá (Slabé znečištění)
Unnamed POI,49.4307148,13.2029985,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.09683246,Modrá (Mírné znečištění)
svatý Jan Nepomucký,49.7466746,14.3640777,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.11481146,Modrá (Mírné znečištění)
Unnamed POI,49.0534913,14.4349879,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.41354162,Tmavě zelená (Znečištěná)
Hrádek,49.4311929,12.8622075,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.13133,Modrá (Mírné znečištění)
Drážďanská vyhlídka,50.7947673,14.0980721,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.19057356,Světle modrá (Střední znečištění)
Unnamed POI,49.0403371,13.5744778,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.03598341,Šedá (Téměř přirozená)
Unnamed POI,49.7217267,13.4348498,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.8048529,Zelená (Silné znečištění)
Unnamed POI,48.8457836,15.9783415,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.1482735,Modrá (Mírné znečištění)
Unnamed POI,50.141052,14.47693,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,survey_point,2.2725022,Žlutá (Velmi silné znečištění)
Vojtěchův kopec,49.7281291,15.9772548,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0897005,Modrá (Mírné znečištění)
Unnamed POI,50.0386572,15.7814846,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance,1.8224343,Žlutá (Velmi silné znečištění)
