name,lat,lon,darkness_value,falchi_category
Mělnická vyhlídka,50.388,14.2923,0.24211289,Světle modrá (Střední znečištění)
Malý Rabštýn,49.7229,17.4518,0.12711267,Modrá (Mírné znečištění)
Vysoký kámen,50.3006,12.4081,0.09396863,Modrá (Mírné znečištění)
Křížový kámen,50.8841,14.2802,0.11305099,Modrá (Mírné znečištění)
Horní vyhlídka Edmundova kamene,50.8852,14.2808,0.11305099,Modrá (Mírné znečištění)
Krásná Máří,50.8524,15.182,0.13954967,Modrá (Mírné znečištění)
Tolštejn,50.8569,14.5817,0.13970156,Modrá (Mírné znečištění)
Komáří hůrka,50.7066,13.8564,0.26980686,Světle modrá (Střední znečištění)
Ptačí kámen,50.8589,14.3339,0.11081897,Modrá (Mírné znečištění)
Vilemínina stěna,50.8632,14.4039,0.099401325,Modrá (Mírné znečištění)
svatý Jan Nepomucký,49.7467,14.3641,0.11481146,Modrá (Mírné znečištění)
Hrádek,49.4312,12.8622,0.13133,Modrá (Mírné znečištění)
Drážďanská vyhlídka,50.7948,14.0981,0.19057356,Světle modrá (Střední znečištění)
Vojtěchův kopec,49.7281,15.9773,0.0897005,Modrá (Mírné znečištění)
Masarykova vyhlídka,50.0916,14.3951,3.9275193,Oranžová (Extrémní znečištění)
Velká skála,49.3545,16.4183,0.3523172,Tmavě zelená (Znečištěná)
Vyhlídka Emy Destinnové,50.1174,14.482,3.2547991,Oranžová (Extrémní znečištění)
U Lvíčka,50.553,15.1763,0.16917105,Světle modrá (Střední znečištění)
Křížový vrch,49.8629,17.1784,0.0999106,Modrá (Mírné znečištění)
Roh hranic,50.6744,15.8608,0.118773535,Modrá (Mírné znečištění)
Pražská vyhlídka,50.3841,14.2886,0.23341782,Světle modrá (Střední znečištění)
vyhlídka na České středohoří (západní část),50.3891,14.288,0.23982622,Světle modrá (Střední znečištění)
Roudnická vyhlídka,50.3893,14.2884,0.23982622,Světle modrá (Střední znečištění)
Máchova vyhlídka,50.4402,14.5788,0.15212494,Modrá (Mírné znečištění)
Hornek,49.2315,16.7172,0.47618178,Tmavě zelená (Znečištěná)
Pokličky,50.4552,14.5894,0.13755102,Modrá (Mírné znečištění)
Výhled na přehradu Souš,50.7994,15.3246,0.11772445,Modrá (Mírné znečištění)
Ostrý,50.5315,13.9515,0.1995384,Světle modrá (Střední znečištění)
Zelenohorská vyhlídka,49.0827,13.4361,0.033407856,Šedá (Téměř přirozená)
Vyhlídka Havlova skála,49.9098,13.5526,0.10514714,Modrá (Mírné znečištění)
Paličník,50.8715,15.2576,0.11500226,Modrá (Mírné znečištění)
Soví vyhlídka,50.9342,14.4292,0.102289625,Modrá (Mírné znečištění)
Holubník,50.8407,15.1835,0.13483444,Modrá (Mírné znečištění)
Ptačí kupy,50.847,15.1737,0.142671,Modrá (Mírné znečištění)
řopík,50.2422,14.3056,1.2336674,Zelená (Silné znečištění)
Doubravská hora,50.639,13.8597,0.642071,Zelená (Silné znečištění)
Czeskie Kamienie / Mužské kameny,50.7769,15.5911,0.103499204,Modrá (Mírné znečištění)
Krakonoš,50.734,15.6649,0.10546108,Modrá (Mírné znečištění)
Minická skála,50.2186,14.2877,0.6169277,Tmavě zelená (Znečištěná)
Louštín,50.1639,13.7937,0.14099227,Modrá (Mírné znečištění)
U Tety,49.7478,16.5794,0.12502599,Modrá (Mírné znečištění)
Devět skal,49.6707,16.0322,0.07768817,Tmavě modrá (Slabé znečištění)
Skalní hrad,50.8722,15.0894,0.17626138,Světle modrá (Střední znečištění)
Kočičí kameny,50.8869,15.2311,0.13411497,Modrá (Mírné znečištění)
Přerovská hůra,50.162,14.8398,0.33538672,Tmavě zelená (Znečištěná)
Břístevská hůra,50.1376,14.8516,0.32037538,Tmavě zelená (Znečištěná)
vyhlídka Na Horizontu,49.724,13.4381,0.8048529,Zelená (Silné znečištění)
Dolní můstek,49.3737,16.7292,0.19688983,Světle modrá (Střední znečištění)
Mariánská vyhlidka,50.548,15.1935,0.16821498,Světle modrá (Střední znečištění)
