name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made
Unnamed POI,49.1889339,16.8628541,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance
Koliště - Cejl,49.196105,16.6156531,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance
Unnamed POI,49.1890462,16.8628835,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance
Mělnická vyhlídka,50.3879853,14.2922971,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0013588,14.8588657,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.7358105,15.7398317,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.067727,12.366026,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance
Malý Rabštýn,49.7229114,17.4517505,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.1907486,16.6118352,Unknown,Unknown,Unknown,Unknown,10,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance
Vysoký kámen,50.3005798,12.4080543,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Křížový kámen,50.8841433,14.2802226,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Horní vyhlídka Edmundova kamene,50.8851997,14.2807612,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.8850222,14.2805325,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.234147,17.2512825,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.2085416,16.5946018,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance
Unnamed POI,49.1986324,16.6107061,Unknown,Unknown,Unknown,Unknown,18,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance
Unnamed POI,49.1978114,16.6113803,Unknown,Unknown,Unknown,Unknown,18,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance
Unnamed POI,50.1388161,14.5330386,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0027393,14.8602205,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Krásná Máří,50.8524449,15.1820227,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
