name,lat,lon
Mělnická vyhlídka,50.388,14.2923
Unnamed POI,50.0014,14.8589
Unnamed POI,50.7358,15.7398
Malý Rabštýn,49.7229,17.4518
Vysoký kámen,50.3006,12.4081
Křížový kámen,50.8841,14.2802
Horní vyhlídka Edmundova kamene,50.8852,14.2808
Unnamed POI,50.885,14.2805
Unnamed POI,49.2341,17.2513
Unnamed POI,50.1388,14.533
Unnamed POI,50.0027,14.8602
Krásná Máří,50.8524,15.182
Tolštejn,50.8569,14.5817
Komáří hůrka,50.7066,13.8564
Unnamed POI,50.3754,12.9096
Ptačí kámen,50.8589,14.3339
Vilemínina stěna,50.8632,14.4039
Rozhledna Kraví Hora,48.9285,16.847
Unnamed POI,49.3851,12.9276
Unnamed POI,49.4121,12.8045
Rozhledna Blatenský vrch,50.4002,12.7817
rozhledna Koráb,49.3954,13.0753
Unnamed POI,49.4307,13.203
svatý Jan Nepomucký,49.7467,14.3641
Unnamed POI,49.0535,14.435
Hrádek,49.4312,12.8622
Drážďanská vyhlídka,50.7948,14.0981
Jezerní slať,49.0398,13.5754
Unnamed POI,49.0403,13.5745
Unnamed POI,49.7217,13.4348
Unnamed POI,48.8458,15.9783
Unnamed POI,50.1411,14.4769
Terezka,49.786,16.1226
Háj u Šumperka,49.9707,16.9338
Vojtěchův kopec,49.7281,15.9773
Masarykova vyhlídka,50.0916,14.3951
Velká skála,49.3545,16.4183
Unnamed POI,50.0654,14.4208
Unnamed POI,48.8632,16.6335
Vyhlídka Emy Destinnové,50.1174,14.482
Unnamed POI,50.5189,13.6313
Unnamed POI,50.0634,14.4167
Unnamed POI,50.0629,14.4171
Unnamed POI,50.0637,14.4165
Unnamed POI,50.7361,15.7342
Unnamed POI,50.7361,15.7356
Unnamed POI,50.8322,14.6501
Unnamed POI,50.0916,14.4057
Unnamed POI,50.0893,14.3988
U Lvíčka,50.553,15.1763
Unnamed POI,50.0863,14.4136
Křížový vrch,49.8629,17.1784
Unnamed POI,49.1939,16.5988
Unnamed POI,49.1937,16.6002
Unnamed POI,49.1947,16.6004
Roh hranic,50.6744,15.8608
Pražská vyhlídka,50.3841,14.2886
vyhlídka na České středohoří (západní část),50.3891,14.288
Roudnická vyhlídka,50.3893,14.2884
Máchova vyhlídka,50.4402,14.5788
Unnamed POI,49.7437,13.4288
Unnamed POI,50.6984,13.7332
Hornek,49.2315,16.7172
Unnamed POI,49.4454,14.8578
Unnamed POI,50.4556,14.5698
