name,lat,lon
Mělnická vyhlídka,50.388,14.2923
Malý Rabštýn,49.7229,17.4518
Vysoký kámen,50.3006,12.4081
Křížový kámen,50.8841,14.2802
Horní vyhlídka Edmundova kamene,50.8852,14.2808
Krásná Máří,50.8524,15.182
Tolštejn,50.8569,14.5817
Komáří hůrka,50.7066,13.8564
Ptačí kámen,50.8589,14.3339
Vilemínina stěna,50.8632,14.4039
Rozhledna Kraví Hora,48.9285,16.847
Rozhledna Blatenský vrch,50.4002,12.7817
rozhledna Koráb,49.3954,13.0753
svatý Jan Nepomucký,49.7467,14.3641
Hrádek,49.4312,12.8622
Drážďanská vyhlídka,50.7948,14.0981
Jezerní slať,49.0398,13.5754
Terezka,49.786,16.1226
Háj u Šumperka,49.9707,16.9338
Vojtěchův kopec,49.7281,15.9773
Masarykova vyhlídka,50.0916,14.3951
Velká skála,49.3545,16.4183
Vyhlídka Emy Destinnové,50.1174,14.482
U Lvíčka,50.553,15.1763
Křížový vrch,49.8629,17.1784
Roh hranic,50.6744,15.8608
Pražská vyhlídka,50.3841,14.2886
vyhlídka na České středohoří (západní část),50.3891,14.288
Roudnická vyhlídka,50.3893,14.2884
Máchova vyhlídka,50.4402,14.5788
Hornek,49.2315,16.7172
Pokličky,50.4552,14.5894
Výhled na přehradu Souš,50.7994,15.3246
Ostrý,50.5315,13.9515
Zelenohorská vyhlídka,49.0827,13.4361
Vyhlídka Havlova skála,49.9098,13.5526
Paličník,50.8715,15.2576
Soví vyhlídka,50.9342,14.4292
Holubník,50.8407,15.1835
Ptačí kupy,50.847,15.1737
řopík,50.2422,14.3056
rozhledna Osičina,50.2242,16.1273
Vladimíra Menšíka na Hlíně,49.1174,16.4261
Doubravská hora,50.639,13.8597
Kamenný vrch,49.1828,16.556
Czeskie Kamienie / Mužské kameny,50.7769,15.5911
Krakonoš,50.734,15.6649
Minická skála,50.2186,14.2877
Louštín,50.1639,13.7937
U Tety,49.7478,16.5794
rozhledna Háj u Aše,50.2335,12.2018
Devět skal,49.6707,16.0322
Skalní hrad,50.8722,15.0894
Kočičí kameny,50.8869,15.2311
Přerovská hůra,50.162,14.8398
Břístevská hůra,50.1376,14.8516
vyhlídka Na Horizontu,49.724,13.4381
Dolní můstek,49.3737,16.7292
rozhledna Podvrší u Veselice,49.3891,16.704
Rozhledna Stráž u Aše,50.2278,12.272
U Strejců,50.2634,12.3872
Babylon,49.4437,16.4639
Rozhledna Krátošice,49.3257,14.7842
Mariánská vyhlidka,50.548,15.1935
Vyhlídka nad Výrovkou,50.7179,15.6828
Sněžník,49.276,14.8952
rozhledna Modrá - Židoviny,49.1191,17.4033
Dračí vrch,50.8095,15.0778
Panská skála,49.8751,14.5647
Kamenná brána,50.5311,16.3107
Koruna,50.5219,16.3254
Rozhledna Jarník,49.308,14.1925
Hlavatice,50.5696,15.1555
Travičná,48.8601,17.3656
Doubrava,49.1838,17.8729
Ambrožova vyhlídka,50.7626,15.5455
Pančavský vodopád,50.7612,15.5452
Milovské perníčky,49.6936,16.0879
Čtyři palice,49.6868,16.0932
Chalupská Slat,48.9982,13.6592
výhled z věže,49.0511,14.4416
Kamenická vyhlídka,50.8503,14.3444
Mariina skála,50.8604,14.405
Čerchov u Nižbora,50.0048,13.9779
Skalka,49.2476,16.5904
Málkova rozhledna,50.0466,14.1352
Kalvárie,50.5643,15.1645
Zdenčina skála,50.6066,15.1932
Frýdlantská skála,50.5611,16.2057
Vyhlídka Klubačice,49.5603,16.3142
Dolní Bílý ostroh,50.8741,14.2443
Šaunštejn,50.8687,14.3521
Vožický výhled,49.5323,14.8145
Holý vrch,49.7721,13.4458
